排名,银行名称,股票代码,类型,现价(元),年初价格(元),年初至今涨跌幅%,股息率%(TTM),市盈率PE(动态),市净率PB,总市值(亿元),52周最高,52周最低
1,兴业银行,601166,股份制银行,18.70,20.52,-8.89,8.69,5.11,0.49,3957.45,20.77,16.99
2,招商银行,600036,股份制银行,39.44,41.47,-4.89,7.64,6.62,0.91,9946.71,43.52,35.60
3,张家港行,002839,城商行&农商行,4.49,4.56,-1.54,6.68,5.59,0.61,109.75,5.03,4.11
4,江阴银行,002807,城商行&农商行,4.52,4.57,-1.09,6.64,5.09,0.59,111.25,5.05,4.13
5,长沙银行,601577,城商行&农商行,9.51,9.68,-1.76,6.52,4.67,0.55,382.45,10.63,8.69
6,光大银行,601818,股份制银行,3.27,3.38,-3.40,5.81,4.79,0.39,1932.10,3.63,2.97
7,华夏银行,600015,股份制银行,7.14,6.76,5.62,5.67,4.18,0.36,1136.33,7.87,6.44
8,无锡银行,600908,城商行&农商行,5.83,5.94,-1.85,5.66,5.54,0.57,127.95,6.50,5.32
9,平安银行,000001,股份制银行,11.02,11.42,-3.50,5.43,5.02,0.47,2138.53,12.03,9.85
10,常熟银行,601128,城商行&农商行,7.10,7.04,0.85,5.31,5.61,0.79,235.47,7.84,6.42
11,成都银行,601838,城商行&农商行,17.05,16.11,5.83,5.23,5.43,0.85,722.65,18.82,15.40
12,苏农银行,603323,城商行&农商行,4.89,5.05,-3.17,5.19,4.83,0.52,98.71,5.45,4.46
13,民生银行,600016,股份制银行,3.83,3.83,0.00,5.17,5.52,0.30,1676.87,4.22,3.46
14,浙商银行,601916,城商行&农商行,3.09,3.04,1.64,5.05,6.08,0.48,848.66,3.41,2.79
15,贵阳银行,601997,城商行&农商行,5.74,5.88,-2.38,5.05,4.11,0.33,209.87,6.35,5.19
16,江苏银行,600919,城商行&农商行,10.81,10.15,6.51,5.04,5.80,0.80,1983.78,11.97,9.79
17,苏州银行,002966,城商行&农商行,8.34,8.28,0.72,4.92,6.95,0.76,372.85,9.25,7.57
18,沪农商行,601825,城商行&农商行,8.90,9.24,-3.68,4.88,6.94,0.68,858.36,9.88,8.08
19,交通银行,601328,国有大行,6.88,7.26,-5.23,4.68,6.36,0.53,6079.43,7.55,6.17
20,渝农商行,601077,城商行&农商行,7.00,6.24,12.23,4.48,6.55,0.61,794.99,7.87,6.44
21,兰州银行,001227,城商行&农商行,2.27,2.27,0.00,4.45,6.81,0.43,129.29,2.52,2.06
22,南京银行,601009,城商行&农商行,11.20,11.45,-2.18,4.43,6.35,0.76,1384.72,12.38,10.13
23,中信银行,601998,股份制银行,8.32,7.70,8.05,4.33,6.56,0.64,4629.68,9.22,7.54
24,邮储银行,601658,国有大行,5.06,5.34,-5.19,4.29,6.95,0.61,6076.81,5.62,4.60
25,工商银行,601398,国有大行,7.40,7.91,-6.45,4.14,7.16,0.70,26374.06,8.16,6.68
26,建设银行,601939,国有大行,9.42,9.29,1.40,4.06,7.27,0.73,24642.76,10.38,8.50
27,重庆银行,601963,城商行&农商行,10.28,10.65,-3.49,4.05,6.32,0.65,357.19,11.53,9.43
28,厦门银行,601187,城商行&农商行,7.41,7.34,0.95,4.05,7.42,0.74,195.56,8.29,6.79
29,齐鲁银行,601665,城商行&农商行,5.73,5.62,1.98,4.03,6.17,0.72,352.62,6.39,5.23
30,宁波银行,002142,股份制银行,30.10,28.18,6.81,3.99,6.78,0.89,1987.68,33.46,27.38
31,杭州银行,600926,城商行&农商行,16.57,15.28,8.44,3.98,6.31,0.90,1201.16,18.36,15.02
32,中国银行,601988,国有大行,5.57,5.73,-2.79,3.96,7.49,0.68,17947.23,6.14,5.02
33,农业银行,601288,国有大行,6.48,7.65,-15.29,3.78,7.86,0.84,22678.90,7.16,5.86
34,瑞丰银行,601528,城商行&农商行,5.36,5.69,-5.80,3.73,5.35,0.53,105.17,6.14,5.02
35,浦发银行,600000,股份制银行,10.02,12.47,-19.65,3.72,6.67,0.45,3337.24,11.07,9.05
36,北京银行,601169,城商行&农商行,5.44,5.49,-0.91,3.68,4.44,0.41,1150.18,6.02,4.92
37,紫金银行,601860,城商行&农商行,2.76,2.71,1.85,3.62,6.84,0.51,101.04,3.10,2.54
38,青岛银行,002948,城商行&农商行,5.12,4.49,14.03,3.12,5.74,0.73,298.00,5.62,4.60
39,西安银行,600928,城商行&农商行,3.62,3.70,-2.16,2.76,6.04,0.47,160.89,4.02,3.29
40,郑州银行,002936,城商行&农商行,1.88,1.94,-3.09,1.06,8.95,0.37,170.93,2.08,1.70
