排名,股票名称,股票代码,类型,现价(元),年初价格(元),年初至今涨跌幅%,股息率%(TTM),综合评分,评级,市盈率PE(动态),市净率PB,总市值(亿元),52周最高,52周最低
1,中谷物流,603565,运输,11.27,10.05,12.14,10.83,62.3,一般,11.07,2.40,236.68,12.39,10.13
2,中远海控,601919,运输,15.17,15.12,0.33,10.60,70.2,较好,7.53,1.00,2322.93,16.79,13.73
3,四川成渝,601107,运输,6.34,6.06,4.62,4.57,57.5,谨慎,11.85,1.15,193.88,7.08,5.80
4,招商公路,001965,运输,10.02,10.10,-0.79,4.17,55.4,谨慎,13.16,1.02,680.87,11.23,9.19
5,大秦铁路,601006,运输,5.31,5.17,2.71,4.14,57.0,谨慎,16.06,0.65,1069.82,5.94,4.86
6,格力电器,000651,家电,37.88,39.34,-3.72,7.90,71.0,较好,6.70,1.53,2121.81,41.73,34.15
7,美的集团,000333,家电,74.78,80.04,-6.57,5.36,58.7,谨慎,12.71,2.58,5685.73,81.75,66.89
8,分众传媒,002027,传媒,6.45,7.34,-12.13,5.89,55.2,谨慎,17.16,5.92,931.52,7.06,5.78
9,伊利股份,600887,食品饮料,26.16,28.60,-8.53,6.50,61.1,一般,20.66,3.11,1654.71,28.55,23.36
10,双汇发展,000895,食品饮料,27.94,26.50,5.43,5.01,55.3,谨慎,18.96,4.53,968.03,30.31,24.80
11,兴业银行,601166,银行,18.70,20.52,-8.89,8.69,83.2,推荐,5.11,0.49,3957.45,20.77,16.99
12,招商银行,600036,银行,39.44,41.47,-4.89,7.64,75.7,较好,6.62,0.91,9946.71,43.52,35.60
13,光大银行,601818,银行,3.27,3.38,-3.40,5.81,77.7,较好,4.79,0.39,1932.10,3.63,2.97
14,华夏银行,600015,银行,7.14,6.76,5.62,5.67,74.2,较好,4.18,0.36,1136.33,7.87,6.44
15,平安银行,000001,银行,11.02,11.42,-3.50,5.43,73.3,较好,5.02,0.47,2138.53,12.03,9.85
16,成都银行,601838,银行,17.05,16.11,5.83,5.23,68.9,一般,5.43,0.85,722.65,18.82,15.40
17,民生银行,600016,银行,3.83,3.83,0.00,5.17,71.2,较好,5.52,0.30,1676.87,4.22,3.46
18,江苏银行,600919,银行,10.81,10.15,6.51,5.04,71.0,较好,5.80,0.80,1983.78,11.97,9.79
19,交通银行,601328,银行,6.88,7.26,-5.23,4.68,69.5,一般,6.36,0.53,6079.43,7.55,6.17
20,邮储银行,601658,银行,5.06,5.34,-5.19,4.29,67.8,一般,6.95,0.61,6076.81,5.62,4.60
21,工商银行,601398,银行,7.40,7.91,-6.45,4.14,65.9,一般,7.16,0.70,26374.06,8.16,6.68
22,建设银行,601939,银行,9.42,9.29,1.40,4.06,65.3,一般,7.27,0.73,24642.76,10.38,8.50
23,宁波银行,002142,银行,30.10,28.18,6.81,3.99,67.6,一般,6.78,0.89,1987.68,33.46,27.38
24,杭州银行,600926,银行,16.57,15.28,8.44,3.98,67.8,一般,6.31,0.90,1201.16,18.36,15.02
25,中国银行,601988,银行,5.57,5.73,-2.79,3.96,68.3,一般,7.49,0.68,17947.23,6.14,5.02
26,农业银行,601288,银行,6.48,7.65,-15.29,3.78,63.7,一般,7.86,0.84,22678.90,7.16,5.86
27,北京银行,601169,银行,5.44,5.49,-0.91,3.68,69.0,一般,4.44,0.41,1150.18,6.02,4.92
28,中国移动,600941,通讯,93.42,101.38,-7.85,5.12,58.1,谨慎,14.76,1.45,20229.10,103.26,84.48
